# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: Mini Proj CAE version 2
# Creation date: 07/15/2026 16:01:49
# 
# 07/15/2026 16:01:49
# The parameters defined in the project are:
# ,P12 - LP-T [mm],P2 - LP-L [mm],P7 - LP-W [mm],P8 - UP-L [mm],P13 - UP-T [mm],P14 - UP-W [mm],P15 - Fillet [mm],P16 - Hole Radii [mm],P17 - Equivalent Stress Maximum [MPa],P18 - Total Deformation Maximum [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P12,P2,P7,P8,P13,P14,P15,P16,P17,P18
DP 0,20,100,50,100,20.000000000000004,50.000000000000007,3,10,34.074214032277,0.0488512243613569
# 
# 07/16/2026 09:30:04
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P12 - LP-T [mm],P2 - LP-L [mm],P7 - LP-W [mm],P8 - UP-L [mm],P13 - UP-T [mm],P14 - UP-W [mm],P15 - Fillet [mm],P16 - Hole Radii [mm],P17 - Equivalent Stress Maximum [MPa],P18 - Total Deformation Maximum [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P12,P2,P7,P8,P13,P14,P15,P16,P17,P18
DP 100,24,92,50,104,24,50,6,8,22.75937540696194,0.027216175281764985
DP 101,20,92,50,109,24,50,6,10,36.142632315583263,0.044237711020656205
DP 102,22,81,50,102,25,50,5,10,27.411516543520062,0.031302323635821826
DP 103,23,109,50,112,22,50,6,8,25.450658268129445,0.035549089734641978
DP 104,23,88,50,118,20,50,6,8,24.020263188027446,0.04118407359491285
DP 105,20,108,50,101,21,50,2,8,37.978113222856891,0.050050427778441493
DP 106,20,98,50,102,21,50,6,9,34.432276639725956,0.047291708302860905
DP 107,24,101,50,101,22,50,2,9,26.753149997253704,0.029164591379467402
DP 108,24,112,50,104,21,50,4,10,22.869927666421837,0.03017507339379958
DP 109,20,113,50,109,22,50,3,9,32.767617751397175,0.050340718799256376
# 
# 07/17/2026 10:52:11
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P12 - LP-T [mm],P2 - LP-L [mm],P7 - LP-W [mm],P8 - UP-L [mm],P13 - UP-T [mm],P14 - UP-W [mm],P15 - Fillet [mm],P16 - Hole Radii [mm],P17 - Equivalent Stress Maximum [MPa],P18 - Total Deformation Maximum [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P12,P2,P7,P8,P13,P14,P15,P16,P17,P18
DP 110,22,115,50,111,20.000000000000004,50.000000000000007,3,8,34.11475039343317,0.044676734467931564
DP 110,24,120,50,111,20.000000000000004,50.000000000000007,3,10,26.364287329014942,0.034540742393439919
DP 110,21,85,50,116,20,50,2,9,35.456994950269134,0.052066393789018894
DP 111,23,114,50,108,24,50,6,10,26.035448323197777,0.030145334114799027
DP 112,21,111,50,105,24,50,5,10,31.638432319184968,0.037801485114731893
DP 113,23,117,50,110,23,50,3,9,25.942870168807278,0.033845425398109717
DP 114,22,98,50,102,20,50,6,8,29.409973919967367,0.039446827059045335
DP 115,22,113,50,114,22,50,6,10,26.878708308161634,0.038806049618052819
DP 116,24,112,50,112,20,50,6,9,25.029879506409966,0.034253096462980748
DP 117,24,114,50,104,25,50,3,10,23.96657903310583,0.025818547162449669
DP 118,24,86,50,117,20,50,2,8,29.428252561131039,0.038478617457924587
DP 119,22,80,50,100,22,50,3,8,31.302700539543252,0.036733976987946226
DP 120,21,118,50,118,25,50,5,10,30.879269640404136,0.041092103722642118
DP 121,20,82,50,112,24,50,2,10,35.390555267701366,0.047504629538782525
DP 122,25,84,50,101,21,50,6,10,20.728066037134806,0.025692754687315498
DP 123,21,84,50,117,21,50,3,10,30.558335830147158,0.048625140539807425
DP 124,25,111,50,110,23,50,6,8,24.190214844247198,0.026904559002131654
DP 125,21,108,50,108,25,50,5,10,31.390344718545439,0.037591506014152572
DP 126,25,117,50,112,21,50,2,9,26.90038191064632,0.030808630771784848
